"","GEOID","NAME","B24011_001E","B24011_001M","B24011_002E","B24011_002M","B24011_018E","B24011_018M","B24011_026E","B24011_026M","B24011_029E","B24011_029M","B24011_033E","B24011_033M","Neighborhood"
"1","42101","Philadelphia County, Pennsylvania",36040,303,55669,638,22333,332,31744,439,37580,1539,27009,542,NA
"67","42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania",37039,5968,53508,11502,25274,10679,31422,13387,40329,45987,28766,10577,"NEWBOLD"
"150","42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania",30290,4003,52090,5786,21427,2929,26346,9360,32074,23087,26089,7398,"NEWBOLD"
