"","GEOID","NAME","B24011_001E","B24011_001M","B24011_002E","B24011_002M","B24011_018E","B24011_018M","B24011_026E","B24011_026M","B24011_029E","B24011_029M","B24011_033E","B24011_033M","Neighborhood"
"1","42101","Philadelphia County, Pennsylvania",31148,282,46335,579,20385,400,27120,409,34856,1483,27251,509,NA
"185","42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania",26186,3322,39097,13485,26392,11677,28401,5854,31518,12446,15938,4116,"NEWBOLD"
"193","42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania",27001,4787,40000,10681,15828,6601,26638,8512,35893,9552,22656,7663,"NEWBOLD"
